#RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,Open Ask,High Ask,Low Ask,Close Ask,Low Ask Yld,Open Bid Size,High Bid Size,Low Bid Size,Close Bid Size,Open Ask Size,High Ask Size,Low Ask Size,Close Ask Size
ESH25,Market Price,2025-03-11T14:59:00.000000000Z,-5,Intraday 1Min,5566.75,5567.5,5561,5562.75,4337,2051,5566.5,5567.5,5561,5562.5,5566.75,5567.75,5561.25,5562.75,,7,126,1,6,3,33,1,8
ESH25,Market Price,2025-03-11T15:00:00.000000000Z,-5,Intraday 1Min,5562.5,5562.5,5556.25,5561.75,6226,2910,5562.5,5562.5,5556.25,5561.5,5562.75,5562.75,5556.5,5561.75,,6,108,1,12,9,60,1,8
ESH25,Market Price,2025-03-11T15:01:00.000000000Z,-5,Intraday 1Min,5561.75,5573.25,5559.75,5568.5,7779,3624,5561.5,5573,5559.5,5568.5,5561.75,5573.25,5559.75,5568.75,,16,54,1,7,8,100,1,11
ESH25,Market Price,2025-03-11T15:02:00.000000000Z,-5,Intraday 1Min,5568.75,5569,5563.5,5565.75,4883,2327,5568.5,5569,5563.5,5565.5,5568.75,5569.25,5563.75,5566,,5,123,1,16,11,51,1,13
ESH25,Market Price,2025-03-11T15:03:00.000000000Z,-5,Intraday 1Min,5565.75,5568.25,5563.75,5564.5,3438,1753,5565.5,5568.25,5563.75,5564.25,5566,5568.5,5564,5564.5,,17,166,1,12,13,28,1,4
ESH25,Market Price,2025-03-11T15:04:00.000000000Z,-5,Intraday 1Min,5564.5,5565.25,5561,5564,4047,1835,5564.25,5565.25,5560.75,5564,5564.5,5565.5,5561,5564.25,,12,57,1,13,5,85,1,1
ESH25,Market Price,2025-03-11T15:05:00.000000000Z,-5,Intraday 1Min,5564,5573.5,5562.5,5572.25,4589,2413,5564,5573.25,5562.25,5572,5564.25,5573.5,5562.5,5572.25,,13,38,1,18,2,56,1,2
ESH25,Market Price,2025-03-11T15:06:00.000000000Z,-5,Intraday 1Min,5572.25,5578.5,5571.5,5578.25,5693,2629,5572,5578.25,5571.25,5578.25,5572.25,5578.5,5571.5,5578.5,,18,110,1,12,3,98,1,20
ESH25,Market Price,2025-03-11T15:07:00.000000000Z,-5,Intraday 1Min,5578.25,5590.75,5576,5589.5,8727,3789,5578.25,5590.75,5576,5589.25,5578.5,5591,5576.25,5589.5,,11,110,1,7,20,125,1,12
ESH25,Market Price,2025-03-11T15:08:00.000000000Z,-5,Intraday 1Min,5589.25,5590,5582.5,5586,5841,2586,5589.25,5590,5582.25,5586,5589.5,5590.25,5582.5,5586.25,,5,39,1,1,12,81,1,12
